price,bedrooms,bathrooms,sqft_living,view,grade,sqft_above,sqft_basement,lat,sqft_living15
221900.0,3,1.0,1180,0,7,1180,0,47.5112,1340
538000.0,3,2.25,2570,0,7,2170,400,47.721,1690
180000.0,2,1.0,770,0,6,770,0,47.7379,2720
604000.0,4,3.0,1960,0,7,1050,910,47.5208,1360
510000.0,3,2.0,1680,0,8,1680,0,47.6168,1800
1225000.0,4,4.5,5420,0,11,3890,1530,47.6561,4760
257500.0,3,2.25,1715,0,7,1715,0,47.3097,2238
291850.0,3,1.5,1060,0,7,1060,0,47.4095,1650
229500.0,3,1.0,1780,0,7,1050,730,47.5123,1780
323000.0,3,2.5,1890,0,7,1890,0,47.3684,2390
662500.0,3,2.5,3560,0,8,1860,1700,47.6007,2210
468000.0,2,1.0,1160,0,7,860,300,47.69,1330
310000.0,3,1.0,1430,0,7,1430,0,47.7558,1780
400000.0,3,1.75,1370,0,7,1370,0,47.6127,1370
530000.0,5,2.0,1810,0,7,1810,0,47.67,1360
650000.0,4,3.0,2950,3,9,1980,970,47.5714,2140
395000.0,3,2.0,1890,0,7,1890,0,47.7277,1890
485000.0,4,1.0,1600,0,7,1600,0,47.6648,1610
189000.0,2,1.0,1200,0,7,1200,0,47.3089,1060
230000.0,3,1.0,1250,0,7,1250,0,47.3343,1280
385000.0,4,1.75,1620,0,7,860,760,47.7025,1400
2000000.0,3,2.75,3050,4,9,2330,720,47.5316,4110
285000.0,5,2.5,2270,0,8,2270,0,47.3266,2240
252700.0,2,1.5,1070,0,7,1070,0,47.3533,1220
329000.0,3,2.25,2450,0,8,2450,0,47.3739,2200
233000.0,3,2.0,1710,0,6,1710,0,47.3048,1030
937000.0,3,1.75,2450,0,8,1750,700,47.6386,1760
667000.0,3,1.0,1400,0,8,1400,0,47.6221,1860
438000.0,3,1.75,1520,0,7,790,730,47.695,1520
719000.0,4,2.5,2570,0,8,2570,0,47.7073,2630
580500.0,3,2.5,2320,0,8,2320,0,47.5391,2580
280000.0,2,1.5,1190,0,7,1190,0,47.7274,1390
687500.0,4,1.75,2330,0,7,1510,820,47.6823,1460
535000.0,3,1.0,1090,0,8,1090,0,47.6889,1570
322500.0,4,2.75,2060,0,7,1280,780,47.4276,2020
696000.0,3,2.5,2300,0,8,1510,790,47.6827,1590
550000.0,4,1.0,1660,0,5,930,730,47.6621,2160
640000.0,4,2.0,2360,0,8,2360,0,47.6702,1730
240000.0,4,1.0,1220,0,7,890,330,47.3341,1290
605000.0,4,2.5,2620,0,8,2620,0,47.5301,2620
625000.0,4,2.5,2570,0,9,2570,0,47.6145,2470
775000.0,4,2.25,4220,0,8,2600,1620,47.445,2410
861990.0,5,2.75,3595,0,9,3595,0,47.6848,3625
685000.0,3,1.0,1570,0,7,1570,0,47.6413,1580
309000.0,3,1.0,1280,0,6,920,360,47.4485,1340
488000.0,3,2.5,3160,0,8,3160,0,47.7443,3050
210490.0,3,1.0,990,0,6,990,0,47.3066,1228
785000.0,4,2.5,2290,0,9,2290,0,47.6194,2680
450000.0,3,1.75,1250,0,7,1250,0,47.6796,970
1350000.0,3,2.5,2753,2,9,2165,588,47.4041,2680
228000.0,3,1.0,1190,0,7,1190,0,47.4258,1190
345000.0,5,2.5,3150,0,8,1640,1510,47.4934,1990
600000.0,3,1.75,1410,0,7,1000,410,47.6808,1410
585000.0,2,1.75,1980,0,7,990,990,47.6989,1480
920000.0,5,2.25,2730,0,8,2130,600,47.6571,2730
885000.0,4,2.5,2830,0,9,2830,0,47.6597,1950
292500.0,4,2.5,2250,0,7,2250,0,47.3663,2250
301000.0,3,2.5,2420,0,8,2420,0,47.3663,2690
951000.0,5,3.25,3250,4,8,3250,0,47.588,2960
430000.0,4,3.0,1850,0,8,1850,0,47.5059,2270
650000.0,3,2.25,2150,3,8,1590,560,47.4336,2570
289000.0,3,1.75,1260,0,7,1260,0,47.4366,1290
505000.0,3,1.75,2519,0,8,2519,0,47.4428,2500
549000.0,3,1.75,1540,0,8,1540,0,47.6765,1580
425000.0,3,2.25,1660,0,7,1110,550,47.6113,1440
317625.0,3,2.75,2770,0,7,1770,1000,47.5747,1440
975000.0,4,2.5,2720,0,10,2720,0,47.5815,2750
287000.0,4,2.5,2240,0,7,2240,0,47.3378,2221
204000.0,3,1.0,1000,0,7,1000,0,47.3621,1010
1325000.0,5,2.25,3200,0,8,1600,1600,47.6303,3390
1040000.0,5,3.25,4770,0,11,3070,1700,47.6525,3530
325000.0,3,2.0,1260,0,7,1260,0,47.7362,1640
571000.0,4,2.0,2750,0,7,2250,500,47.7168,1510
360000.0,4,2.5,2380,0,8,2380,0,47.3608,2420
349000.0,3,1.75,1790,0,7,1090,700,47.3511,1940
832500.0,4,4.0,3430,0,10,2390,1040,47.5822,3240
380000.0,4,1.75,1760,0,7,880,880,47.6034,1680
480000.0,3,1.0,1040,0,7,1040,0,47.5636,890
410000.0,3,1.0,1410,0,7,910,500,47.7073,1130
720000.0,4,2.5,3450,0,10,3450,0,47.342,3350
390000.0,3,2.5,2350,0,8,2350,0,47.3512,2350
360000.0,4,2.5,1900,0,7,1900,0,47.349,1870
355000.0,2,1.0,2020,0,7,1010,1010,47.5474,1720
356000.0,3,1.5,1680,0,8,1680,0,47.4811,1850
315000.0,3,1.0,960,0,6,960,0,47.7264,1570
940000.0,3,1.5,2140,0,9,1900,240,47.6337,2020
305000.0,5,2.25,2660,0,7,2660,0,47.2909,1590
461000.0,3,3.25,2770,0,9,1980,790,47.5228,1900
215000.0,2,2.25,1610,0,7,1610,0,47.518,1950
335000.0,2,1.75,1030,0,7,765,265,47.5394,1030
243500.0,4,2.5,1980,0,7,1980,0,47.2897,1980
1099880.0,5,2.75,3520,0,10,3520,0,47.6506,2520
153000.0,3,1.0,1200,0,7,1200,0,47.322,1350
430000.0,3,1.5,1580,0,8,1290,290,47.687,1570
700000.0,3,1.5,1580,0,8,1290,290,47.687,1570
905000.0,4,2.5,3300,0,7,2390,910,47.5873,1950
247500.0,3,1.75,1960,0,7,1960,0,47.3576,1750
199000.0,4,1.5,1160,0,7,1160,0,47.3036,1160
314000.0,3,1.75,1810,0,7,1210,600,47.4109,1650
437500.0,3,2.5,2320,2,9,2320,0,47.4838,2550
850830.0,3,2.5,2070,0,9,1270,800,47.6415,2200
555000.0,3,2.0,1980,0,7,1440,540,47.6775,1610
699950.0,3,2.25,2190,0,8,2190,0,47.7731,2570
1088000.0,3,2.5,2920,0,8,2920,0,47.5814,2370
290000.0,3,1.0,1210,0,7,1210,0,47.4375,1640
375000.0,3,2.5,2340,0,8,1460,880,47.4431,2250
460000.0,3,1.0,1670,0,7,1170,500,47.6878,1240
188500.0,2,1.75,1240,0,8,1240,0,47.3813,1270
680000.0,4,2.5,3140,0,10,3140,0,47.7304,2990
470000.0,5,1.75,2030,0,7,2030,0,47.6417,2500
597750.0,4,2.5,2310,0,8,2310,0,47.5386,1940
570000.0,3,1.75,1260,0,6,700,560,47.6823,1380
272500.0,3,1.75,1540,0,7,1160,380,47.3624,1540
329950.0,3,1.75,2080,2,7,1080,1000,47.5474,2090
480000.0,4,2.5,3230,3,9,2520,710,47.3183,2640
740500.0,3,3.5,4380,0,8,2780,1600,47.6981,1830
518500.0,3,3.5,1590,0,8,1590,0,47.6824,1620
205425.0,2,1.0,880,0,6,880,0,47.5009,1190
171800.0,4,2.0,1570,0,6,1570,0,47.4965,1880
535000.0,4,1.0,1610,0,7,1610,0,47.587,1610
660000.0,3,2.5,2400,2,8,1560,840,47.7728,2340
391500.0,3,2.0,1450,0,7,1450,0,47.7288,1580
395000.0,2,1.0,770,0,6,770,0,47.6999,1710
445000.0,4,1.75,2100,0,7,1720,380,47.5299,1850
770000.0,3,2.25,2910,0,9,2910,0,47.6897,2700
1450000.0,4,2.75,2750,0,8,1980,770,47.6141,3060
445000.0,3,2.25,2100,2,8,1620,480,47.5091,2660
260000.0,4,2.25,2160,0,8,1360,800,47.3129,2090
822500.0,5,3.5,2320,0,7,1720,600,47.6763,1700
